# time,position
6.186186186186185765e+00,2.010071386346387601e-01
6.196196196196195771e+00,2.007154698327968112e-01
6.206206206206205778e+00,2.004446012070449923e-01
6.216216216216215784e+00,2.001944851628724709e-01
6.226226226226225791e+00,1.999650824513553027e-01
6.236236236236235797e+00,1.997566245987270339e-01
6.246246246246245803e+00,1.995691877825341853e-01
6.256256256256255810e+00,1.994027512281841275e-01
6.266266266266265816e+00,1.992572863685460327e-01
6.276276276276275823e+00,1.991327568439509865e-01
6.286286286286285829e+00,1.990291185021920151e-01
6.296296296296295836e+00,1.989463193985239187e-01
6.306306306306305842e+00,1.988842997956634662e-01
6.316316316316315849e+00,1.988429921637892561e-01
6.326326326326325855e+00,1.988223211805418278e-01
6.336336336336335862e+00,1.988222037310235224e-01
6.346346346346345868e+00,1.988425489077986219e-01
6.356356356356355874e+00,1.988832580108932935e-01
6.366366366366365881e+00,1.989442245477955618e-01
6.376376376376375887e+00,1.990253342334553366e-01
6.386386386386385894e+00,1.991264649902843853e-01
6.396396396396395900e+00,1.992474869481564159e-01
6.406406406406405907e+00,1.993882624444069662e-01
6.416416416416416801e+00,1.995486460238335147e-01
6.426426426426426808e+00,1.997284844386953417e-01
6.436436436436436814e+00,1.999276166487136408e-01
6.446446446446446821e+00,2.001458738210715460e-01
6.456456456456456827e+00,2.003830793304140212e-01
6.466466466466466834e+00,2.006390487588478877e-01
6.476476476476476840e+00,2.009135898959418798e-01
6.486486486486486847e+00,2.012065027387266170e-01
6.496496496496496853e+00,2.015175794916946317e-01
6.506506506506506859e+00,2.018466045668002584e-01
6.516516516516516866e+00,2.021933545834597723e-01
6.526526526526526872e+00,2.025575983685513060e-01
6.536536536536536879e+00,2.029390969564149050e-01
6.546546546546546885e+00,2.033376035888524447e-01
6.556556556556556892e+00,2.037528637151277411e-01
6.566566566566566898e+00,2.041846149919664677e-01
6.576576576576576905e+00,2.046325872835561832e-01
6.586586586586586911e+00,2.050965026615462761e-01
6.596596596596596918e+00,2.055760754050481032e-01
6.606606606606606924e+00,2.060710120006348511e-01
6.616616616616616930e+00,2.065810111423416195e-01
6.626626626626626937e+00,2.071057637316653377e-01
6.636636636636636943e+00,2.076449528775648756e-01
6.646646646646646950e+00,2.081982538964609331e-01
6.656656656656656956e+00,2.087653343122361504e-01
6.666666666666666963e+00,2.093458538562350257e-01
6.676676676676676969e+00,2.099394644672638865e-01
6.686686686686686976e+00,2.105458427525020437e-01
6.696696696696696982e+00,2.111649930792529328e-01
6.706706706706706989e+00,2.117966742664590951e-01
6.716716716716716995e+00,2.124405471894131869e-01
6.726726726726727001e+00,2.130962723466179320e-01
6.736736736736737008e+00,2.137635098597862882e-01
6.746746746746747014e+00,2.144419194738412249e-01
6.756756756756757021e+00,2.151311605569158902e-01
6.766766766766767027e+00,2.158308921003535830e-01
6.776776776776777034e+00,2.165407727187077247e-01
6.786786786786787040e+00,2.172604606497418323e-01
